a,b,opcode,faulty_result,label
741155672,3411837078,0,4152992750,0
175018772,2300163090,1,2169790210,1
3408031894,3635208881,1,4067790309,0
717411669,4140011245,0,562455618,0
361442091,2058427381,2,276892449,0
1454637997,2478907943,3,3623183279,1
1112145796,3551061159,2,1107879044,0
4090996455,3706687673,4,792213086,0
2765772361,1843772379,0,314577444,0
1689915337,679719249,3,1857798105,1
3502005921,356965674,2,268721184,0
2099922426,2732990533,3,4285425151,1
1101071747,3195355772,0,1460223,0
3108377714,4283383038,1,3119961968,1
3025531496,3084888687,2,3025511032,1
1128664454,2015568368,0,3145281398,1
477206328,544641344,0,1021847672,0
2483648040,2064493046,3,4279105534,1
3804175045,1613246912,4,2207722245,1
979525492,484340025,2,406868272,1
3630852784,505186108,4,3338071436,1
354521898,824496994,4,604323912,0
183252245,4038151905,4,4200430580,0
199400727,2710302275,0,2909711194,1
1689641929,3275097222,3,3887589327,0
311937829,1626774977,4,1918981860,0
3332219533,2909266522,3,4026262239,1
64366343,375094060,0,439460403,0
101342476,3098404465,4,3198659453,1
2648800315,1533076918,0,4181877233,0
4225745655,3474247326,3,4292333311,1
2927122524,716765013,0,3641790385,1
2418686496,3490386592,2,2450133536,1
962595186,3661466804,4,3814557126,0
1854600669,2262626317,4,3897951697,1
632330571,3167502969,1,1757697746,1
3479427742,4277167357,4,831766115,0
3185627771,1206023055,3,4293063615,1
2177079811,1908484579,3,4056136675,0
244466461,1492729265,2,143655185,0
571580228,3399269525,1,1467277999,0
4028445920,4137777389,1,4185635835,1
695866706,2082364408,3,2105434106,0
1188870029,2841625682,4,4018369503,0
1108993924,594214214,3,1669070790,0
3325727372,1212710288,3,3464167324,0
199934231,892166506,4,784834685,1
1115379588,3579559082,1,1830788826,1
1047465852,2958164576,0,4005630428,0
1565150650,3315687563,2,1157644426,0
3541958310,2458066469,0,631315659,1
419791666,3506767010,1,1212186256,1
2760866889,2321854484,2,2151952384,1
2664022077,636617547,2,79691913,1
2926063708,596669767,3,2952295775,0
1128175494,2628745785,4,3750882751,0
3657796276,1750197712,4,2991943524,1
2518831148,1182549388,2,119554060,1
65648391,3038920810,2,18874370,0
144046353,1953169384,1,2485844265,0
2783419979,971276659,0,3755745214,1
1982421996,301860131,4,1742167759,0
1376710564,1692493257,2,1073767808,0
2628191289,4018369247,3,4289164543,1
3931641044,864249191,0,496728635,1
1319125405,1479615920,2,1210057104,0
1091582338,617791305,1,473791033,0
3971554009,268482336,4,4240027129,0
2382711836,1236365203,1,1079237769,1
1907646947,2504753706,2,293601314,1
3832674504,2933337693,0,2605262629,1
490708282,1109830020,1,3675845558,0
2510923819,479035193,0,2989959008,1
2306808850,2843672658,1,3758103488,0
746883417,3895170768,0,347086889,0
3076123246,1274358167,3,4294831103,0
1837860827,1397913510,1,439947445,1
1569051579,2155445248,2,536956928,1
2279885839,3035158121,0,1020076664,0
2253611532,749214041,1,1504397491,0
1660766661,1742157263,1,4213576694,0
1211753872,2833569873,0,4045323745,0
3036259433,998493559,0,4034752992,0
623076682,3963050200,3,3979836890,0
1306348955,3792607940,4,2933118815,1
1551413688,3689345719,1,2157035265,0
3279482502,2555206192,3,3682467510,0
1005409143,1524025269,0,2529434412,0
1779824084,59213575,0,1839037659,0
990615414,1956752873,0,2947106143,1
1172474763,15884033,0,1188358796,0
1837140955,3228975744,0,771149403,0
1629331394,3807173317,3,3824017351,1
2552756784,3618825391,2,2418204704,0
3003308646,1476114863,0,184456277,1
4107824873,2084679672,4,2291778321,1
2205592582,4152719087,2,2198086662,0
1894725601,3400826005,0,1000584278,1
4151459566,810437984,4,3342627726,0
4070334181,2485185064,0,2260551945,1
841973092,347354921,1,494617659,1
4042174177,3149681271,3,4227792631,0
924128622,1084945793,4,2009063663,0
1788852693,876074344,4,1588096189,0
2019717616,3581411498,4,2887414106,1
127910671,4175186161,3,4292856831,0
3197877373,1194235278,4,4189530611,1
4049722594,510020924,4,4010217950,1
3568690857,2011935215,0,1285658776,0
2917650523,3617733807,3,4293393663,0
620927818,1557269945,1,3358625169,0
160312595,164115731,1,4291164160,0
853295461,684074833,2,549716289,0
3684186807,3432517785,4,385886766,0
2635204666,3102358129,2,2550270000,0
830211938,4063587044,4,3276369286,0
353623338,3201975421,4,2882115927,0
753819481,1925424101,3,2129657853,0
1994288109,3836215497,1,2453039908,0
2695810113,1472319919,0,4168130032,0
3987152091,3868649677,4,187823382,1
940810096,2200359942,3,3141001078,0
3511165090,1587035581,0,803233375,0
3042303594,1849509852,3,4286439422,0
2825674320,3179738235,1,3940903383,1
2459785253,3158279288,1,3596473261,0
2071693814,2921582172,0,698308690,0
298621731,1018407801,1,3575181226,0
1682310600,3721479867,4,3113567091,1
2265771534,3112670323,1,3448068507,0
108069644,3876559054,4,3783170754,1
1780113876,2901204057,1,3173885307,1
1554149305,3652763827,2,1487028401,1
2052046836,3136610933,3,4211081204,1
107802892,2633792057,2,74215432,0
24285954,2330770965,2,6328832,0
50067717,656163662,3,671087435,1
20916482,1551454648,0,1572371130,0
2222961160,1189565325,0,3412559253,1
3618934447,1953706472,0,1277673495,1
1213794704,2062986229,4,850240101,1
2787151948,1031978363,1,1755140817,1
2684724800,313066277,3,2997725029,0
2263594509,3095138416,4,1049994877,1
382466349,2497632297,0,2880360790,1
1579504060,2558199856,1,3316275596,1
1613180352,678848848,1,934331504,0
3503254177,650067789,2,9382401,0
4210241269,2055712757,2,2055417589,0
2934623325,3393720980,1,3835869577,1
3042485866,1583375804,0,330894374,0
3695380664,3476069534,3,3748895934,0
4252567290,591399750,3,3749253118,1
2214224903,3385572499,2,2177508355,0
2866443349,1540610999,2,181555221,0
584446277,2977958499,4,2473982758,1
2895372377,2473774630,3,3220434559,0
3024713320,2405688350,1,618762826,1
3359175824,756655450,1,2602520382,1
239306012,1553557433,0,1792863445,0
1434853291,1747376592,2,1074141568,0
934897007,1818914264,3,2147184127,0
2731313221,1188472717,3,3873222605,1
1173562251,2116325884,1,3352211855,1
1847467996,3531541156,1,2610894136,0
211258649,1387606949,0,1598865598,0
2671349310,4186685683,4,1722961613,0
2893556824,1644522436,2,536881216,0
775308124,54150406,1,989593174,1
3441250458,202774808,1,3775346562,1
3807405765,1427493290,0,939931759,0
219284250,1641797059,4,1824642777,1
1496639922,104030988,1,1392608902,1
4109373161,1641741763,1,2467631398,0
1974301675,2083371512,3,2108554235,0
2032927730,1149480329,2,1073742240,1
931951471,232868635,1,699082836,0
3600885933,877511016,0,183429653,0
2465796645,1743280079,1,722516566,0
1440583083,2375340571,3,3722305467,0
3225108096,785832285,3,4009754589,0
1093533058,2184462852,2,2375680,0
732407127,456559414,0,1188958349,1
426378034,3169003641,0,3595381675,0
4065046244,2336418838,0,2106497786,0
3581930666,1615881664,2,1079002240,1
2539227182,1181038476,2,104923148,0
3099640433,2113835003,4,3309194634,0
1582571964,4000344284,4,2955168096,0
200038167,3772777665,4,3943453654,0
1979392491,1520253877,3,2147433471,0
3304926857,3350389391,0,2293240088,1
3757504191,3628477104,1,129027087,0
3920927443,3944547030,3,3954023127,1
3242511490,224621850,1,2749454184,1
954640241,3951559895,3,4226197495,1
2271383054,4173796593,1,2392554781,1
1720065485,45957893,0,1766025426,1
238742300,1276692376,2,135840536,1
4134570220,2504119850,2,2487255080,0
3000060517,462554423,4,2839760722,0
2180658691,4285701886,1,2189923845,1
4272807165,2675576382,4,1633145539,1
4097455336,3126868084,4,1314524316,0
1477020080,2204228614,1,3567759274,1
152456466,3026910312,1,1420513450,0
3803840709,4280299262,1,3818508743,0
453971254,2040465907,0,3568178985,1
2111679483,3045948523,2,898443371,0
197902103,2278569487,0,2476471590,0
2319955476,352322858,3,2672244542,1
3546705574,3933611732,4,957433970,1
3853258955,3045573227,0,2603864886,0
41413380,4199035636,1,136820752,1
1183539597,4041896161,1,1436610732,0
1122221445,3701044409,3,3741023677,1
3839825609,2959052384,3,4108295913,0
2741252678,510970684,4,3171998074,1
461725495,739005784,1,4017687007,0
970348403,2272842254,2,22041090,0
1852646364,406831920,4,1985143020,0
1749415376,7595264,4,1765150928,1
562171715,2087621112,0,2649792827,0
3501824673,700456787,3,4193886195,0
1280872344,804207967,0,2085080311,0
3284046471,4250884858,3,4294955775,1
379179309,3094741616,2,269488160,1
3048532075,2564241457,2,2425628769,1
2301607954,105963276,2,2147532800,1
115043085,181211925,1,4228798440,1
540084032,1248038292,0,1788122324,0
706454356,3227648640,4,3933839824,1
160240915,3789784771,2,1098974211,1
4137017069,3998148316,0,3840198089,0
3161985144,332664103,2,273694752,1
2951554655,297818915,2,29360675,1
1435954091,474093368,3,1574371259,0
290671906,1693629897,1,2892009305,0
3823848647,3242222210,3,3823840967,1
1733613518,3817743047,4,2765813001,1
2457838628,1839427547,4,4292627455,1
2221216776,985821045,4,3198647165,0
1523785141,2373808666,2,2287013904,1
472519480,3240311426,2,2232832,0
2886049880,2824497744,4,73386760,1
3515390627,1380180900,4,2211150087,0
851697509,1966872554,4,1207945359,0
57686278,2853404756,4,2841885010,0
2918400091,3830837448,2,2756788296,0
610744648,2616783415,2,2109440,1
2082337784,3666424501,0,1420240557,1
685156689,1101976963,0,1787133652,0
1302258587,446750005,1,855508582,0
1477858224,4259283707,1,1513541813,0
663599951,2555225648,1,2403341599,0
2352530456,4001437917,3,4005158045,1
2741692486,820121441,1,2055788773,1
2895595609,720466773,4,2791717644,1
395024175,2244890635,2,92934155,0
4011715294,3922865363,3,4024364767,1
340111656,1960602089,1,2674411327,1
743930200,1789174229,1,3518158723,1
1641801155,1781273556,3,738195415,1
1379499428,1059450750,2,304180516,0
1797889494,2280572943,1,3812283847,0
3249554563,1349185440,4,2447026979,0
3238986882,1608764351,0,552783937,0
585816901,3149676151,2,581442117,0
580717381,3130265717,2,580124741,0
4234611448,1664236486,4,2675257662,1
906058092,2823706704,1,2377318684,0
415064881,3457220252,0,3872285069,1
3727842492,3621985967,4,164708883,0
2267884558,3034867305,1,3527984549,0
3646636210,4011892446,1,3929186772,1
3270014085,1432096682,2,1078465664,1
336064808,1628362178,4,1963533546,0
1293945242,1776767443,2,1226834322,0
3708885690,4260068603,3,4294672123,1
3318706827,1628523970,0,920698957,1
3863488716,954602353,2,542113856,1
1330184606,815586145,3,2145246191,1
3185789051,3751530687,4,1652070604,1
3363945617,3764426944,3,3907108049,0
749298521,3209933950,3,3220961151,0
706573140,2833441361,0,3540538789,1
2766022729,1945796071,3,4160650735,0
305835812,1102435715,1,3498367393,0
2918056027,1558094265,3,4261323259,0
1258209173,3146992247,0,110234124,0
4175043313,1932287974,1,2242755339,0
3621891759,37282052,0,3659173779,1
2305056786,2116662268,0,126620686,1
3585755307,3791909060,2,3221373056,0
536576319,3778172610,2,20055042,1
965351795,760060762,2,688396626,0
3496404128,4285778686,2,4033003680,1
973695860,1569109947,4,1737489615,1
1899150306,4050208994,0,1654392020,1
4025699551,3423855256,4,601927495,1
1339813279,135777040,4,1204561551,0
2031192562,1592359869,1,505941557,1
1438394283,1510608820,3,1606365119,1
2852695124,1156029321,0,4008724445,0
2310394899,1443664300,4,3753461183,0
451150645,502669115,4,118627342,0
2594186293,396987695,3,2676600127,1
442603828,2866848341,0,3309452173,1
3732079292,4184145650,1,3842900970,1
3556652711,3773989057,0,3035936616,1
4063434468,2696454721,4,1384887973,1
3032575081,4250065146,3,4258528507,0
3869102285,2144334847,1,3872251086,1
3670640309,4095771368,0,3471444381,0
2778029131,2298752530,4,747729497,0
462917431,1464737198,1,3288953225,1
4232881400,2417511968,0,2355426072,0
3977990362,2436760098,0,2119783164,0
1983075820,2503283242,3,4147601390,1
1031756666,253645086,2,220090642,1
4104248041,4121228011,1,4277987326,0
95745803,3070550638,0,3166296441,0
2940558942,1045441916,3,3218440062,1
583020869,3318437003,0,4169893328,1
155964178,469286199,2,1229492498,1
3250837123,4037738721,3,4058765027,0
1733287886,2771803210,2,621173834,0
1791849429,1721305037,3,1860007901,0
4060409572,4197616884,2,4060122340,0
1986089964,224542490,3,2137227262,0
4054003427,4129588460,1,4219382263,0
2043052531,377964333,2,344326433,1
773033308,1854752221,2,771818844,0
4128426220,3352853135,2,3322939532,1
2145104895,1010009464,0,3155114871,1
1442232747,332527399,2,298889506,1
2110394363,165659411,1,2078952680,1
105487116,1572313019,2,67212040,0
4083272422,2765634121,0,2553939247,0
894794602,2238772746,3,3044409194,0
2349257240,1260186006,0,3609443246,0
2229478921,388329774,3,2548528943,0
3739866301,862161254,4,3985268187,0
3137742966,983049589,3,3147705719,0
3350477455,1255380373,0,312987684,1
1034472827,3192121980,2,1010878584,1
3086233711,3833744585,4,1467382950,1
3839369417,1513578932,3,4278150653,1
1833477594,3601770669,0,1140278919,1
1875898847,112255757,2,109109513,1
944587120,1102931843,1,4136098285,1
2831598673,41585924,3,2868825429,0
3225842304,4243916025,2,2151940224,1
58322182,3842390730,2,17836034,1
4019021023,1694088137,1,2392041750,1
1115256196,3628697776,4,2586901812,0
1958478825,134841616,3,2109573113,1
1865688542,3596210348,3,4285920766,1
77134601,1811424215,3,1878588381,1
818122593,2261266957,4,3055271276,1
1220786065,3924496083,2,1220740753,0
1299708314,398296879,2,87392522,0
656433998,1540719543,1,2336939927,1
3810816710,785804125,0,335207971,1
3456363676,397705007,3,3753377727,0
2720712260,3451861659,0,1877475551,1
2971664482,1955249129,2,805306464,0
390562606,3331330701,3,3621229487,0
1664026566,3575428266,4,3056841580,0
3491623072,468242231,1,3023380841,0
4167053040,4100761832,3,4243369720,1
3867417805,1758267857,4,2387154204,0
1568891835,4025914079,1,1837945052,0
1049548157,742400344,2,738201944,1
3488960671,1269575575,1,2219386120,1
2203951622,2493591081,1,4005327837,0
1649107908,3954243287,4,2180748563,1
2930168925,650580813,3,2800211805,1
968869747,3218483839,2,966132339,0
2802021454,1557947833,2,67134472,0
4032652512,2631320121,1,1401397927,1
1090211713,419136305,3,1492897713,0
1206644623,2136178174,0,3342822797,0
2932928605,2274002959,3,2950363231,0
429640499,881775977,1,3842831562,1
722314582,3445052058,1,1572262588,1
779233628,619251529,2,608174408,1
1775073235,2641590842,2,21066258,1
1819604440,3155955320,0,2828076112,1
483079481,2463129637,3,2665182589,1
2224477705,2872551510,0,802061919,0
2519492652,3919256787,2,2148009984,0
224608026,6115584,0,2378207258,1
1443717036,4099444456,4,2723533124,0
3060422764,3493609632,2,2418556960,0
248325405,1757499345,3,1858891741,1
7147264,3981277402,3,3983376346,0
1813612504,1616755648,2,1612284880,1
2789805132,3905925329,3,4006591709,0
2830830673,2833378897,3,2826694225,1
2728705605,1501783987,0,4230489528,1
3206612606,3226060416,0,2137705726,0
2119914492,606525256,3,2122307580,0
3232596097,2561989681,1,670606418,1
1403565479,1102183811,4,303646756,0
2680242751,168192,4,2680410927,1
2987756644,1062376318,4,2370248474,0
2022170609,1194195854,3,2142240639,1
1327713694,1948785128,3,2133548542,0
612604745,2238315018,4,569008451,1
800594783,2831140945,1,2230866702,1
2765719113,2466064421,4,908373612,0
3058361964,2890964056,1,167398932,1
2942135390,2547900975,3,3218992767,0
3251591811,330781479,4,3531083172,1
1784536020,3389932692,2,1242316948,0
3378635922,506619708,2,136340496,0
590355270,3082300015,0,3672655285,0
2696130113,2078152183,2,546444353,1
2340173846,956903282,1,1383205028,1
1362535842,1911577059,0,3274112901,0
3377005202,3855528139,1,3816444359,0
873035112,2561994289,1,2606008119,0
1707606987,2865875029,0,278514720,0
950241649,793334622,3,1064033151,1
3873539789,3673380533,0,3251952898,1
71372040,3239624322,2,3072,0
2676004927,3624399536,1,3346572687,0
1443819436,2568499250,3,3743317950,1
43975941,796130142,1,3542812839,1
3692484792,1052927869,0,450445365,0
2232506378,3330771597,3,3348617871,0
1693137353,4174633201,2,1624447169,1
3658669748,1922727909,0,1319984793,1
437467444,298239267,2,268566944,1
378643245,417886513,3,385479485,1
792118622,1510942644,4,1966727914,0
121271054,841793892,1,3574446506,1
839551844,605469000,0,1445020844,0
3309623434,1308526491,4,2293915537,1
3875271885,3052993131,0,2633297720,0
1442784171,4058817251,0,1206634126,0
1587359677,3976144089,4,2992769892,0
3776600258,4032408800,4,289666082,0
2949719647,2396796445,4,554504258,0
3384167571,320340774,1,3063826797,0
2193065477,2225661961,0,123760142,0
3056436332,3049635947,2,3020259432,0
1482210736,4221548791,2,1478015152,0
1386303909,2884157527,3,4226404855,0
991032182,664331087,4,478744633,0
1514519988,2395644445,4,3566149545,0
1136727431,591815494,3,1674016711,0
862819174,1326760350,4,2088334072,1
531681599,707786068,0,1239467667,0
710303572,2787914828,0,3498218400,0
2202308614,678368080,0,2947785558,1
380923181,3276659846,1,1399230631,0
895779690,1546321336,1,3644425650,0
4160670447,1349146528,2,1349141152,0
531205951,2228529673,1,2597643574,0
3564847784,2864839253,0,2134719741,0
2403952158,3693272248,1,3005712742,1
3876217550,3946899158,1,4224281592,1
2462216229,3570272937,2,2428637217,1
3887297743,446362933,4,4247355898,0
541580608,1527542710,4,2068557558,0
4210066677,2905064538,2,2820703312,0
1894619105,315494693,2,281809185,0
2478465063,578728260,0,3057201515,1
3163833977,3484982943,4,1932319462,1
1414828968,1691538377,2,1146131352,1
1117085061,1122213253,4,7783424,1
3118033011,1141836168,0,4259869147,1
1261372822,2589213236,2,168099860,1
512093501,682750289,3,1052114301,0
2377132059,2386137116,0,468301879,0
1590029245,3664372404,1,2220624137,0
660895054,401096495,2,123745550,0
754970969,4134599916,0,594603589,0
255874334,3465988765,4,3252068227,0
3760277696,1906907619,1,1853370077,0
2991388260,2782490699,2,2697490496,1
1223294865,1115150212,1,108144653,0
617891657,2313038867,1,2599820086,0
3656966323,241340700,3,4294635967,1
340585768,359185194,0,699787346,1
781678941,2003460590,4,1375541427,1
1711692748,1569625531,4,998821494,1
3158709368,1697129930,0,560872002,0
781498205,2402482718,2,244363804,1
990362998,1705540043,0,2695968577,1
1845293531,3661817012,0,1212143247,0
275661600,34061060,4,308934692,0
3164648057,3870363853,2,2761953353,0
3378916498,2731409477,3,3958254807,0
3572132521,3476159646,2,3290458248,0
1858259933,1611345344,1,246914589,0
2780381771,1572331963,4,4161709040,0
1082796417,3643988146,1,1733775567,0
1502422963,95336715,1,1407086120,1
604049736,4038615265,2,537002048,1
2121451004,3623371951,0,1449855659,0
3497463456,124444430,0,3621907887,1
984582005,1822949337,2,682067793,0
2261937677,328282407,0,2588122932,1
976066932,2122260988,0,3098327920,0
3755753151,2948985439,1,807292000,1
3232229505,3022563944,4,1955545833,0
4249635066,4254302459,0,4208445941,1
211165465,3543487654,2,262144,1
697637715,4157601519,1,835003492,0
4141395693,1490525617,4,2920232796,1
2993684068,2428055585,4,584502853,0
2066005494,878690152,0,2944687454,1
2317942804,3083913839,1,3545773477,1
2502964778,527939390,0,3030904136,1
4222283511,595074886,1,3627208625,0
2661141053,3491709088,3,3735014076,1
2102088698,2051821044,2,2018005488,1
430498611,6805248,4,433005619,1
1851161564,943861104,2,675424592,0
2492574249,133216527,0,2625782584,1
1264284054,1803705815,2,1262637462,1
298389795,2200100358,4,2464927525,0
2771910730,621099338,3,2772252746,1
551337793,1143801736,3,1694351177,1
3873749197,955178353,3,4209966589,1
2485330472,2311040019,3,2646453819,1
3053511276,2863342677,0,1621919425,1
2133288958,931728751,2,922813806,0
2048822260,3771313345,2,1610647744,1
3923080915,2356224536,3,2918545115,1
1456373677,2090455033,0,3546828710,0
1684406728,2459281957,0,4143688685,0
2758559816,1904651235,4,3588944811,1
1745514448,1158029706,2,1073881984,1
3014276711,3090356336,0,1809665751,0
811134816,658489166,2,538486592,1
1742558159,3109402226,4,3733513661,0
2037934578,3395912340,2,1214775440,0
4094257384,1280631192,3,4234013176,0
1326223262,2085628920,0,3411852182,0
3333227661,3852645067,4,588231750,1
3621897903,472002360,0,4093900263,0
1884124640,1356401057,1,527727679,1
3394846868,3505114273,4,447908901,1
281199905,311787301,0,592987206,0
4120176363,500367675,3,4258785275,0
2537799214,1310027676,4,3646345650,0
191063830,2417198112,3,2608064310,0
3778145986,3398563989,3,3954310871,0
2532059693,45799685,2,44566533,0
2208669703,1952183784,2,630784,1
3424346264,874788712,2,68165640,1
3417957015,1974993387,0,1097917570,1
2613965367,691312978,1,1922652389,0
1100513155,3279583366,1,2115372797,1
951946609,2589375540,2,403967024,1
3125150324,3110303858,4,52787718,0
4180450034,1714888652,1,2465299238,1
3291330696,574283076,1,2717047620,0
1095912322,3326081676,1,2064799990,1
4201492212,3349954703,1,851537509,0
3800467653,3235204225,2,3229616257,1
2330110997,1709375435,1,2768219210,1
455998774,357617962,2,285266274,1
4210311925,2665887293,0,2581231922,0
593893190,2646474811,1,2242402059,1
4146117870,1236582803,2,1092649090,0
4067492580,3797294276,3,4067892964,0
3108578418,958479218,1,2150099201,1
2833361489,1522277813,4,4066227684,1
1371359139,1450049964,4,1205028367,1
3414669975,2566438961,1,848231010,1
3741823166,2879991383,2,2332106774,0
991666550,1513521588,0,2505188138,0
2155457536,3116933235,1,3333491597,0
2494202921,960338802,2,271093792,1
2406958622,914748269,4,3119691123,0
1724013005,2125466621,0,3849479626,0
1803767255,234520347,1,1569312444,1
1734198734,1258654614,4,743984728,0
3842721994,1140548999,4,2800749901,1
2526032941,373791532,2,369102892,0
317950245,288718114,1,163449859,1
4193375475,1099789187,2,1098994307,1
518199101,1477010864,1,3352932749,1
1556845497,909644652,2,336069416,1
1414512552,1294432666,1,103302670,1
1090722178,1324233629,3,1341078463,1
2118782972,4025210079,4,2443299619,1
3972453593,2253934604,3,4007576797,1
1611223488,2927252572,3,4001060060,1
1090122113,2812061775,0,3902183888,0
3560411304,1369085347,4,2242708747,0
3294648456,2090547193,4,3102961521,1
3741162685,206827288,2,206670872,0
260750111,904509291,3,1072414591,0
3201236605,1263109014,0,169509395,1
2239922187,143631121,3,2375000859,0
3354788495,2681612351,2,2278948879,0
87414538,3179428475,1,129211535,1
2531243565,3806887621,3,4143972069,1
4288916223,2933945949,3,4293115647,1
3844597450,1805574615,2,1627840706,0
516400957,1861162461,3,2129639357,1
224729882,4121127659,0,117999109,1
1766210002,349475625,1,1425122985,1
162833171,2470967334,1,1986833133,0
2396555805,3944032470,0,2046669555,1
2030472178,3345098382,3,4284919806,0
3380119698,4224635639,4,850811493,0
4146698990,2733067845,4,365876395,1
2135745022,3065335917,0,906113643,0
3549914279,2185793540,4,1373631651,0
2438265890,2899188825,4,1033560187,0
4076875494,3331245197,4,3046042219,1
47515909,502034747,4,523860030,0
